026-06-22 17:10:22,485 | INFO | ============================================================
2026-06-22 18:31:11,891 | INFO |   → OK | 10158 kata | disimpan ke case_011.txt
2026-06-22 18:31:11,891 | INFO | [12/35] Memproses: putusan_133-k_pm.iii-19_ad_iii_2023_20260619170403.pdf
2026-06-22 18:31:13,048 | INFO |   → OK | 439 kata | disimpan ke case_012.txt
2026-06-22 18:31:13,048 | INFO | [13/35] Memproses: putusan_137-k_pm.iii-19_ad_iv_2023_20260619170505.pdf
2026-06-22 18:31:14,095 | INFO |   → OK | 439 kata | disimpan ke case_013.txt
2026-06-22 18:31:14,096 | INFO | [14/35] Memproses: putusan_152-k_pm.iii-19_ad_v_2023_20260619164244.pdf
2026-06-22 18:31:14,145 | INFO |   → OK | 102 kata | disimpan ke case_014.txt
2026-06-22 18:31:14,145 | INFO | [15/35] Memproses: putusan_154-k_pm.iii-19_ad_v_2023_20260619162749.pdf
2026-06-22 18:31:15,230 | INFO |   → OK | 6429 kata | disimpan ke case_015.txt
2026-06-22 18:31:15,231 | INFO | [16/35] Memproses: putusan_16-k_pm.iii-19_al_i_2023_20260619163748.pdf
2026-06-22 18:31:16,482 | INFO |   → OK | 5286 kata | disimpan ke case_016.txt
2026-06-22 18:31:16,482 | INFO | [17/35] Memproses: putusan_162-k_pm.iii-19_ad_v_2023_20260619164507.pdf
2026-06-22 18:31:16,620 | INFO |   → OK | 472 kata | disimpan ke case_017.txt
2026-06-22 18:31:16,621 | INFO | [18/35] Memproses: putusan_163-k_pm.iii-19_ad_v_2023_20260619164357.pdf
2026-06-22 18:31:16,885 | INFO |   → OK | 737 kata | disimpan ke case_018.txt
2026-06-22 18:31:16,885 | INFO | [19/35] Memproses: putusan_164-k_pm.iii-19_ad_v_2023_20260619164334.pdf
2026-06-22 18:31:16,952 | INFO |   → OK | 102 kata | disimpan ke case_019.txt
2026-06-22 18:31:16,952 | INFO | [20/35] Memproses: putusan_17-k_pm.iii-19_al_i_2023_20260619162844.pdf
2026-06-22 18:31:18,165 | INFO |   → OK | 6166 kata | disimpan ke case_020.txt
2026-06-22 18:31:18,165 | INFO | [21/35] Memproses: putusan_171-k_pm.iii-19_ad_v_2023_20260619165914.pdf
2026-06-22 18:31:18,190 | WARNING | [SKIP] putusan_171-k_pm.iii-19_ad_v_2023_20260619165914.pdf — terlalu pendek (34 kata) → kemungkinan PDF scan/gambar
2026-06-22 18:31:18,190 | INFO | [22/35] Memproses: putusan_180-k_pm.iii-19_ad_vi_2023_20260619170236.pdf
2026-06-22 18:31:19,791 | INFO |   → OK | 7381 kata | disimpan ke case_022.txt
2026-06-22 18:31:19,791 | INFO | [23/35] Memproses: putusan_181-k_pm.iii-19_ad_vi_2023_20260619170539.pdf
2026-06-22 18:31:21,179 | INFO |   → OK | 7432 kata | disimpan ke case_023.txt
2026-06-22 18:31:21,179 | INFO | [24/35] Memproses: putusan_193-k_pm.iii-19_ad_vi_2023_20260619170839.pdf
2026-06-22 18:31:22,262 | INFO |   → OK | 6677 kata | disimpan ke case_024.txt
2026-06-22 18:31:22,262 | INFO | [25/35] Memproses: putusan_194-k_pm.iii-19_ad_vi_2023_20260619165111.pdf
2026-06-22 18:31:23,397 | INFO |   → OK | 5859 kata | disimpan ke case_025.txt
2026-06-22 18:31:23,397 | INFO | [26/35] Memproses: putusan_212-k_pm.iii-19_ad_vi_2023_20260619170704.pdf
2026-06-22 18:31:24,929 | INFO |   → OK | 6832 kata | disimpan ke case_026.txt
2026-06-22 18:31:24,929 | INFO | [27/35] Memproses: putusan_26-k_pm.iii-19_al_i_2023_20260619163545.pdf
2026-06-22 18:31:25,986 | INFO |   → OK | 5221 kata | disimpan ke case_027.txt
2026-06-22 18:31:25,986 | INFO | [28/35] Memproses: putusan_30-k_pm.iii-19_al_i_2023_20260619163938.pdf
2026-06-22 18:31:26,888 | INFO |   → OK | 4783 kata | disimpan ke case_028.txt
2026-06-22 18:31:26,888 | INFO | [29/35] Memproses: putusan_40-k_pm.iii-19_ad_i_2023_20260619164146.pdf
2026-06-22 18:31:28,870 | INFO |   → OK | 8618 kata | disimpan ke case_029.txt
2026-06-22 18:31:28,870 | INFO | [30/35] Memproses: putusan_67-k_pm.iii-19_ad_i_2023_20260619165034.pdf
2026-06-22 18:31:29,920 | INFO |   → OK | 439 kata | disimpan ke case_030.txt
2026-06-22 18:31:29,920 | INFO | [31/35] Memproses: putusan_94-k_pm.iii-19_ad_ii_2023_20260619170036.pdf
2026-06-22 18:31:30,877 | INFO |   → OK | 4810 kata | disimpan ke case_031.txt
2026-06-22 18:31:30,877 | INFO | [32/35] Memproses: putusan_95-k_pm.iii-19_ad_ii_2023_20260619165811.pdf
2026-06-22 18:31:31,842 | INFO |   → OK | 4864 kata | disimpan ke case_032.txt
2026-06-22 18:31:31,843 | INFO | [33/35] Memproses: putusan_96-k_pm.iii-19_ad_ii_2023_20260619164748.pdf
2026-06-22 18:31:32,879 | INFO |   → OK | 466 kata | disimpan ke case_033.txt
2026-06-22 18:31:32,879 | INFO | [34/35] Memproses: putusan_98-k_pm.iii-19_ad_ii_2023_20260619165650.pdf
2026-06-22 18:31:33,949 | INFO |   → OK | 4581 kata | disimpan ke case_034.txt
2026-06-22 18:31:33,949 | INFO | [35/35] Memproses: putusan_99-k_pm.iii-19_ad_ii_2023_20260619164031.pdf
2026-06-22 18:31:35,018 | INFO |   → OK | 4769 kata | disimpan ke case_035.txt
2026-06-22 18:31:35,018 | INFO | 
============================================================
2026-06-22 18:31:35,018 | INFO | SELESAI PREPROCESSING
2026-06-22 18:31:35,018 | INFO |   Berhasil : 34 file
2026-06-22 18:31:35,018 | INFO |   Dilewati : 1 file
2026-06-22 18:31:35,018 | INFO |   Error    : 0 file
2026-06-22 18:31:35,019 | INFO |   Total    : 35 file
2026-06-22 18:31:35,019 | INFO |   Output   : C:\file\cbr-desersi\data\raw
2026-06-22 18:31:35,019 | INFO |   Log      : C:\file\cbr-desersi\logs\cleaning.log
2026-06-22 18:31:35,019 | INFO | ============================================================
2026-06-22 18:33:16,372 | INFO | ============================================================
2026-06-22 18:33:16,372 | INFO | Mulai preprocessing — 2026-06-22 18:33:16
2026-06-22 18:33:16,372 | INFO | Total PDF ditemukan: 35
2026-06-22 18:33:16,373 | INFO | ============================================================
2026-06-22 18:33:16,373 | INFO | [1/35] Memproses: putusan_100-k_pm.iii-19_ad_ii_2023_20260619164642.pdf
2026-06-22 18:33:17,027 | INFO |   → OK | 493 kata | disimpan ke case_001.txt
2026-06-22 18:33:17,028 | INFO | [2/35] Memproses: putusan_102-k_pm.iii-19_ad_ii_2023_20260619165436.pdf
2026-06-22 18:33:17,642 | INFO |   → OK | 4955 kata | disimpan ke case_002.txt
2026-06-22 18:33:17,642 | INFO | [3/35] Memproses: putusan_103-k_pm.iii-19_ad_ii_2023_20260619164921.pdf
2026-06-22 18:33:18,225 | INFO |   → OK | 466 kata | disimpan ke case_003.txt
2026-06-22 18:33:18,225 | INFO | [4/35] Memproses: putusan_104-k_pm.iii-19_ad_ii_2023_20260619165338.pdf
2026-06-22 18:33:18,808 | INFO |   → OK | 5069 kata | disimpan ke case_004.txt
2026-06-22 18:33:18,808 | INFO | [5/35] Memproses: putusan_105-k_pm.iii-19_ad_ii_2023_20260619170014.pdf
2026-06-22 18:33:19,327 | INFO |   → OK | 4561 kata | disimpan ke case_005.txt
2026-06-22 18:33:19,327 | INFO | [6/35] Memproses: putusan_112-k_pm.iii-19_ad_iii_2023_20260619165150.pdf
